VISDATA
20
0 0
1 12  3 5 4 7 8 6 9 2 12 18 14 15 
2 12  4 3 5 7 8 6 9 1 12 18 14 15 
3 14  1 4 8 5 7 2 9 6 12 18 14 15 17 16 
4 12  5 3 6 2 1 9 8 7 18 12 14 15 
5 12  4 1 3 6 2 8 9 7 18 12 14 15 
6 11  4 5 3 1 2 9 8 7 18 12 14 
7 14  3 8 2 12 9 1 4 17 14 5 16 6 15 18 
8 14  3 9 7 4 12 2 1 5 18 14 6 17 15 16 
9 14  8 4 3 7 18 12 2 6 5 1 14 15 17 16 
10 0
11 0
12 14  8 7 14 15 17 16 9 3 2 4 18 1 5 6 
13 0
14 14  16 12 17 8 7 15 9 18 3 2 4 1 5 6 
15 13  16 17 12 14 7 8 9 18 3 2 1 4 5 
16 9  15 14 12 17 7 8 9 3 18 
17 8  15 14 12 16 7 8 3 9 
18 13  9 8 4 12 7 3 14 6 5 15 2 1 16 
19 0
